"01-446 Aurora" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"04-265 Steese East-Gilmore" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,52 
"04-270 Steese West" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"04-270 Steese West" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"04-270 Steese West" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,3962 
"04-270 Steese West" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1483 
"04-270 Steese West" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,17 
"04-270 Steese West" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,421 
"04-270 Steese West" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"04-270 Steese West" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,91 
"04-270 Steese West" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,26 
"04-270 Steese West" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,846 
"04-270 Steese West" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,64 
"04-280 University Hills" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"04-280 University Hills" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"04-280 University Hills" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,607 
"04-280 University Hills" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,213 
"04-280 University Hills" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,4 
"04-280 University Hills" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,131 
"04-280 University Hills" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"04-280 University Hills" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,15 
"04-280 University Hills" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,11 
"04-280 University Hills" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,42 
"04-280 University Hills" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,7 
"05-580 Airport" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"05-580 Airport" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"05-580 Airport" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,409 
"05-580 Airport" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,131 
"05-580 Airport" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"05-580 Airport" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,24 
"05-580 Airport" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"05-580 Airport" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,9 
"05-580 Airport" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,2 
"05-580 Airport" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,91 
"05-580 Airport" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,2 
"05-582 Chena" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"05-582 Chena" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"05-582 Chena" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,4783 
"05-582 Chena" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1981 
"05-582 Chena" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,12 
"05-582 Chena" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,796 
"05-582 Chena" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"05-582 Chena" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,119 
"05-582 Chena" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,63 
"05-582 Chena" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,900 
"05-582 Chena" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,78 
"05-586 Geist" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"05-586 Geist" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"05-586 Geist" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1966 
"05-586 Geist" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,669 
"05-586 Geist" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,14 
"05-586 Geist" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,277 
"05-586 Geist" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"05-586 Geist" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,51 
"05-586 Geist" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,13 
"05-586 Geist" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,279 
"05-586 Geist" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,25 
"05-587 Lakeview" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"05-587 Lakeview" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"05-587 Lakeview" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,415 
"05-587 Lakeview" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,143 
"05-587 Lakeview" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"05-587 Lakeview" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,27 
"05-587 Lakeview" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"05-587 Lakeview" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,6 
"05-587 Lakeview" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,1 
"05-587 Lakeview" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,101 
"05-587 Lakeview" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,5 
"05-588 Pike" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"05-588 Pike" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"05-588 Pike" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,577 
"05-588 Pike" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,243 
"05-588 Pike" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"05-588 Pike" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,74 
"05-588 Pike" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"05-588 Pike" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,18 
"05-588 Pike" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,2 
"05-588 Pike" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,138 
"05-588 Pike" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,6 
"05-590 Richardson" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"05-590 Richardson" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"05-590 Richardson" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,536 
"05-590 Richardson" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,157 
"05-590 Richardson" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,1 
"05-590 Richardson" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,27 
"05-590 Richardson" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"05-590 Richardson" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,5 
"05-590 Richardson" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,1 
"05-590 Richardson" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,119 
"05-590 Richardson" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,4 
"05-592 Shanly" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"05-592 Shanly" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"05-592 Shanly" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1096 
"05-592 Shanly" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,431 
"05-592 Shanly" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"05-592 Shanly" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,148 
"05-592 Shanly" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"05-592 Shanly" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,32 
"05-592 Shanly" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,10 
"05-592 Shanly" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,216 
"05-592 Shanly" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,13 
"05-594 University Campus" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"05-594 University Campus" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"05-594 University Campus" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,560 
"05-594 University Campus" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,85 
"05-594 University Campus" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"05-594 University Campus" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,51 
"05-594 University Campus" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"05-594 University Campus" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,5 
"05-594 University Campus" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,4 
"05-594 University Campus" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,24 
"05-594 University Campus" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,1 
"05-596 University West" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"05-596 University West" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"05-596 University West" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2708 
"05-596 University West" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1051 
"05-596 University West" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,17 
"05-596 University West" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,397 
"05-596 University West" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"05-596 University West" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,68 
"05-596 University West" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,16 
"05-596 University West" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,502 
"05-596 University West" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,38 
"06-005 Anderson" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-005 Anderson" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-005 Anderson" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,180 
"06-005 Anderson" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,68 
"06-005 Anderson" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"06-005 Anderson" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,12 
"06-005 Anderson" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"06-005 Anderson" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,2 
"06-005 Anderson" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"06-005 Anderson" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,48 
"06-005 Anderson" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,3 
"06-007 Arctic Village" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-007 Arctic Village" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-007 Arctic Village" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,108 
"06-007 Arctic Village" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,64 
"06-007 Arctic Village" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"06-007 Arctic Village" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,58 
"06-007 Arctic Village" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"06-007 Arctic Village" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,2 
"06-007 Arctic Village" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,1 
"06-007 Arctic Village" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,1 
"06-007 Arctic Village" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"06-010 Beaver" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-010 Beaver" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-010 Beaver" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,59 
"06-010 Beaver" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,31 
"06-010 Beaver" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,1 
"06-010 Beaver" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,23 
"06-010 Beaver" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"06-010 Beaver" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,1 
"06-010 Beaver" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"06-010 Beaver" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,4 
"06-010 Beaver" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"06-012 Cantwell" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-012 Cantwell" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-012 Cantwell" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,209 
"06-012 Cantwell" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,100 
"06-012 Cantwell" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,1 
"06-012 Cantwell" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,32 
"06-012 Cantwell" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"06-012 Cantwell" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,3 
"06-012 Cantwell" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,4 
"06-012 Cantwell" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,58 
"06-012 Cantwell" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,1 
"06-015 Central" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-015 Central" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-015 Central" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,149 
"06-015 Central" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,46 
"06-015 Central" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"06-015 Central" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,8 
"06-015 Central" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"06-015 Central" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,1 
"06-015 Central" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"06-015 Central" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,36 
"06-015 Central" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,1 
"06-020 Chistochina" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-020 Chistochina" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-020 Chistochina" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,216 
"06-020 Chistochina" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,87 
"06-020 Chistochina" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"06-020 Chistochina" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,11 
"06-020 Chistochina" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"06-020 Chistochina" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,1 
"06-020 Chistochina" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,4 
"06-020 Chistochina" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,70 
"06-020 Chistochina" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,1 
"06-023 Circle" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-023 Circle" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-023 Circle" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,70 
"06-023 Circle" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,29 
"06-023 Circle" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"06-023 Circle" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,21 
"06-023 Circle" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"06-023 Circle" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,0 
"06-023 Circle" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"06-023 Circle" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,8 
"06-023 Circle" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"06-024 Clear" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-024 Clear" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-024 Clear" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,205 
"06-024 Clear" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,72 
"06-024 Clear" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"06-024 Clear" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,20 
"06-024 Clear" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"06-024 Clear" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,3 
"06-024 Clear" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"06-024 Clear" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,49 
"06-024 Clear" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"06-025 Copper Center" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-025 Copper Center" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-025 Copper Center" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,983 
"06-025 Copper Center" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,264 
"06-025 Copper Center" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"06-025 Copper Center" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,54 
"06-025 Copper Center" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"06-025 Copper Center" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,16 
"06-025 Copper Center" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,2 
"06-025 Copper Center" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,178 
"06-025 Copper Center" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,7 
"06-026 Denali Park" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-026 Denali Park" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-026 Denali Park" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,289 
"06-026 Denali Park" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,96 
"06-026 Denali Park" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,1 
"06-026 Denali Park" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,79 
"06-026 Denali Park" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"06-026 Denali Park" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,2 
"06-026 Denali Park" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,2 
"06-026 Denali Park" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,11 
"06-026 Denali Park" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"06-027 Dot Lake" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-027 Dot Lake" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-027 Dot Lake" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,119 
"06-027 Dot Lake" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,45 
"06-027 Dot Lake" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"06-027 Dot Lake" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,6 
"06-027 Dot Lake" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"06-027 Dot Lake" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,2 
"06-027 Dot Lake" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"06-027 Dot Lake" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,37 
"06-027 Dot Lake" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"06-030 Eagle" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-030 Eagle" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-030 Eagle" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,214 
"06-030 Eagle" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,90 
"06-030 Eagle" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"06-030 Eagle" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,28 
"06-030 Eagle" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"06-030 Eagle" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,1 
"06-030 Eagle" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,1 
"06-030 Eagle" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,56 
"06-030 Eagle" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,2 
"06-033 Fort Yukon" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-033 Fort Yukon" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-033 Fort Yukon" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,492 
"06-033 Fort Yukon" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,187 
"06-033 Fort Yukon" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"06-033 Fort Yukon" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,137 
"06-033 Fort Yukon" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"06-033 Fort Yukon" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,3 
"06-033 Fort Yukon" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,3 
"06-033 Fort Yukon" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,41 
"06-033 Fort Yukon" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"06-035 Gakona" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"06-035 Gakona" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"06-035 Gakona" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,266 
"06-035 Gakona" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,95 
"06-035 Gakona" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
